event,type,red1,red2,red3,redFinal,redFoul,redAuto,redTeleop,blue1,blue2,blue3,blueFinal,blueFoul,blueAuto,blueTeleop
MRCMP,Q,3314,1391,2590,95,0,29,36,224,1676,2495,86,0,44,32
MICMP,Q,1023,2673,51,144,20,44,30,3539,141,3688,140,20,48,42
MDBA,Q,1389,1086,2421,44,0,6,18,2528,4514,4456,40,0,0,0
MRCMP,Q,1403,303,1218,131,0,81,30,357,222,1370,111,0,51,30
MICMP,Q,2834,4325,2767,164,0,102,42,1189,3604,2000,147,3,82,42
MDBA,Q,3455,2028,4505,59,0,3,36,3650,2819,128,60,0,38,12
MRCMP,Q,869,223,1302,38,0,20,18,1923,103,2607,147,3,60,54
MDBA,Q,2849,888,87,55,0,33,12,1885,3389,365,110,3,45,42
MICMP,Q,857,245,494,146,43,33,40,1918,4384,858,111,0,29,42
MDBA,Q,4464,122,4288,40,0,12,18,3373,3419,623,32,0,2,10
MDBA,Q,45,2640,2866,63,0,21,32,4067,2641,250,50,3,29,18
MDBA,Q,2912,1719,1708,36,0,12,14,2546,2638,2172,39,0,13,26
MICMP,Q,3641,910,3618,85,3,20,42,4381,2611,3572,112,3,23,36
MICMP,Q,862,217,4130,158,0,102,36,107,2145,33,137,0,71,36
MICMP,Q,3602,123,27,147,0,95,42,280,2619,2960,121,0,81,30
MICMP,Q,503,1718,68,143,0,65,48,1025,3414,3234,91,0,27,24
MICMP,Q,2474,2767,2959,131,0,91,30,67,245,3539,155,0,99,36
MICMP,Q,314,3641,858,130,0,56,54,2000,2054,3688,167,0,99,48
MRCMP,Q,75,1279,714,78,0,8,30,11,3974,1881,65,0,15,30
MICMP,Q,4325,1023,4377,79,0,51,18,2611,2771,2145,140,0,74,36
MRCMP,Q,1391,224,193,124,0,52,52,4285,56,2559,116,3,63,30
MICMP,Q,910,494,573,130,3,67,60,3602,2337,2834,92,0,30,42
MRCMP,Q,222,484,1676,143,0,87,36,4475,433,4342,41,0,9,12
MICMP,Q,2851,1718,4381,144,0,72,42,107,2673,280,36,0,24,12
MRCMP,Q,223,2495,2590,107,0,57,30,2539,225,3340,88,6,30,22
MICMP,Q,862,141,3421,139,0,61,48,3572,469,1684,122,6,42,54
MICMP,Q,27,3604,1701,151,0,87,54,1918,2612,3618,54,3,17,24
MRCMP,Q,272,1640,4575,95,3,64,18,1302,103,303,136,0,74,42
MICMP,Q,1025,33,503,124,0,74,30,857,4391,4130,116,0,60,26
MRCMP,Q,1089,486,1218,140,0,72,48,2607,1228,1403,126,3,51,42
MICMP,Q,2960,51,68,129,0,77,42,1189,2137,70,156,0,90,36
MRCMP,Q,1370,316,816,104,0,48,36,293,1672,1143,34,0,12,22
MRCMP,Q,4342,3314,357,76,0,36,30,1626,2729,4460,117,0,57,40
MICMP,Q,3414,4384,123,141,3,72,36,548,1504,3234,105,0,59,36
MICMP,Q,3421,3656,217,106,0,66,30,245,326,2619,160,0,88,42
MRCMP,Q,869,224,1640,84,0,40,24,223,714,272,75,3,12,30
MICMP,Q,3539,3604,2145,149,0,125,24,3572,573,27,105,0,75,30
MRCMP,Q,11,3340,56,115,0,57,28,4475,1218,1302,115,3,78,24
MICMP,Q,2771,1684,862,157,0,107,30,2474,3641,2673,187,0,101,66
MRCMP,Q,2559,3974,433,53,0,27,6,1143,2495,486,77,0,29,38
MICMP,Q,469,314,4130,191,0,123,48,3602,4381,1189,140,12,78,30
MRCMP,Q,225,1626,1923,149,0,105,24,1228,1370,2729,148,0,92,36
MICMP,Q,280,4325,1701,84,0,32,42,3234,2337,2137,153,0,81,42
MICMP,Q,1504,3414,2000,143,0,81,42,2619,51,494,124,0,60,54
MRCMP,Q,1089,316,4285,140,0,68,42,75,303,222,23,0,5,18
MICMP,Q,1718,3656,67,175,9,90,36,910,2611,2960,68,0,24,24
